"exp","subject","contest","weight","contestant","strength","min_incentive","select","incentive","total"
"exp3",65,1,10,"B",5,20,0,0,42
"exp3",65,1,10,"C",2,2,1,2,42
"exp3",65,2,7,"A",9,40,0,0,22
"exp3",65,2,7,"B",5,20,1,20,22
"exp3",65,2,7,"C",2,2,1,2,22
"exp3",65,3,6,"A",9,40,0,0,22
"exp3",65,3,6,"B",5,20,1,20,22
"exp3",65,3,6,"C",2,2,1,2,22
"exp3",66,1,10,"A",9,40,1,30,50
"exp3",66,1,10,"B",5,20,1,20,50
"exp3",66,1,10,"C",2,2,0,0,50
"exp3",66,2,7,"A",9,40,0,0,35
"exp3",66,2,7,"B",5,20,1,25,35
"exp3",66,2,7,"C",2,2,1,10,35
"exp3",66,3,6,"A",9,40,0,0,35
"exp3",66,3,6,"B",5,20,1,25,35
"exp3",66,3,6,"C",2,2,1,10,35
"exp3",67,1,10,"A",9,40,1,30,50
"exp3",67,1,10,"B",5,20,1,20,50
"exp3",67,1,10,"C",2,2,0,0,50
"exp3",67,2,7,"A",9,40,1,20,35
"exp3",67,2,7,"B",5,20,1,15,35
"exp3",67,2,7,"C",2,2,0,0,35
"exp3",67,3,6,"A",9,40,0,0,25
"exp3",67,3,6,"B",5,20,1,20,25
"exp3",67,3,6,"C",2,2,1,5,25
"exp3",68,1,10,"A",9,40,0,0,42
"exp3",68,1,10,"B",5,20,1,30,42
"exp3",68,1,10,"C",2,2,1,12,42
"exp3",68,2,7,"A",9,40,0,0,45
"exp3",68,2,7,"B",5,20,1,25,45
"exp3",68,2,7,"C",2,2,1,20,45
"exp3",68,3,6,"A",9,40,0,0,36
"exp3",68,3,6,"B",5,20,1,21,36
"exp3",68,3,6,"C",2,2,1,15,36
"exp3",69,1,10,"A",9,40,1,30,42
"exp3",69,1,10,"B",5,20,1,12,42
"exp3",69,1,10,"C",2,2,0,0,42
"exp3",69,2,7,"A",9,40,1,30,45
"exp3",69,2,7,"B",5,20,1,15,45
"exp3",69,2,7,"C",2,2,0,0,45
"exp3",69,3,6,"A",9,40,1,28,40
"exp3",69,3,6,"B",5,20,1,12,40
"exp3",69,3,6,"C",2,2,0,0,40
"exp3",70,1,10,"A",9,40,1,40,42
"exp3",70,1,10,"B",5,20,0,0,42
"exp3",70,1,10,"C",2,2,1,2,42
"exp3",70,2,7,"A",9,40,0,0,22
"exp3",70,2,7,"B",5,20,1,20,22
"exp3",70,2,7,"C",2,2,1,2,22
"exp3",70,3,6,"A",9,40,0,0,19
"exp3",70,3,6,"B",5,20,1,17,19
"exp3",70,3,6,"C",2,2,1,2,19
"exp3",71,1,10,"A",9,40,1,30,50
"exp3",71,1,10,"B",5,20,1,20,50
"exp3",71,1,10,"C",2,2,0,0,50
"exp3",71,2,7,"A",9,40,0,0,25
"exp3",71,2,7,"B",5,20,1,20,25
"exp3",71,2,7,"C",2,2,1,5,25
"exp3",71,3,6,"A",9,40,0,0,20
"exp3",71,3,6,"B",5,20,1,17,20
"exp3",71,3,6,"C",2,2,1,3,20
"exp3",72,1,10,"A",9,40,1,40,50
"exp3",72,1,10,"B",5,20,1,10,50
"exp3",72,1,10,"C",2,2,0,0,50
"exp3",72,2,7,"A",9,40,1,40,50
"exp3",72,2,7,"B",5,20,1,10,50
"exp3",72,2,7,"C",2,2,0,0,50
"exp3",72,3,6,"A",9,40,1,40,50
"exp3",72,3,6,"B",5,20,1,10,50
"exp3",72,3,6,"C",2,2,0,0,50
"exp3",73,1,10,"A",9,40,1,30,50
"exp3",73,1,10,"B",5,20,1,20,50
"exp3",73,1,10,"C",2,2,0,0,50
"exp3",73,2,7,"A",9,40,1,30,50
"exp3",73,2,7,"B",5,20,1,20,50
"exp3",73,2,7,"C",2,2,0,0,50
"exp3",73,3,6,"A",9,40,0,0,22
"exp3",73,3,6,"B",5,20,1,20,22
"exp3",73,3,6,"C",2,2,1,2,22
"exp3",74,1,10,"A",9,40,1,20,40
"exp3",74,1,10,"B",5,20,1,20,40
"exp3",74,1,10,"C",2,2,0,0,40
"exp3",74,2,7,"A",9,40,1,20,50
"exp3",74,2,7,"B",5,20,1,30,50
"exp3",74,2,7,"C",2,2,0,0,50
"exp3",74,3,6,"A",9,40,1,20,50
"exp3",74,3,6,"B",5,20,1,30,50
"exp3",74,3,6,"C",2,2,0,0,50
"exp3",75,1,10,"A",9,40,1,40,50
"exp3",75,1,10,"B",5,20,1,10,50
"exp3",75,1,10,"C",2,2,0,0,50
"exp3",75,2,7,"A",9,40,1,30,50
"exp3",75,2,7,"B",5,20,1,20,50
"exp3",75,2,7,"C",2,2,0,0,50
"exp3",75,3,6,"A",9,40,1,20,40
"exp3",75,3,6,"B",5,20,1,20,40
"exp3",75,3,6,"C",2,2,0,0,40
"exp3",76,1,10,"A",9,40,1,40,42
"exp3",76,1,10,"B",5,20,0,0,42
"exp3",76,1,10,"C",2,2,1,2,42
"exp3",76,2,7,"A",9,40,0,0,22
"exp3",76,2,7,"B",5,20,1,20,22
"exp3",76,2,7,"C",2,2,1,2,22
"exp3",76,3,6,"A",9,40,0,0,22
"exp3",76,3,6,"B",5,20,1,20,22
"exp3",76,3,6,"C",2,2,1,2,22
"exp3",77,1,10,"A",9,40,1,30,45
"exp3",77,1,10,"B",5,20,1,15,45
"exp3",77,1,10,"C",2,2,0,0,45
"exp3",77,2,7,"A",9,40,0,0,22
"exp3",77,2,7,"B",5,20,1,20,22
"exp3",77,2,7,"C",2,2,1,2,22
"exp3",77,3,6,"A",9,40,0,0,17
"exp3",77,3,6,"B",5,20,1,15,17
"exp3",77,3,6,"C",2,2,1,2,17
"exp3",78,1,10,"A",9,40,1,40,50
"exp3",78,1,10,"B",5,20,0,0,50
"exp3",78,1,10,"C",2,2,1,10,50
"exp3",78,2,7,"A",9,40,0,0,35
"exp3",78,2,7,"B",5,20,1,25,35
"exp3",78,2,7,"C",2,2,1,10,35
"exp3",78,3,6,"A",9,40,0,0,32
"exp3",78,3,6,"B",5,20,1,22,32
"exp3",78,3,6,"C",2,2,1,10,32
"exp3",79,1,10,"A",9,40,1,35,45
"exp3",79,1,10,"B",5,20,0,0,45
"exp3",79,1,10,"C",2,2,1,10,45
"exp3",79,2,7,"A",9,40,1,40,40
"exp3",79,2,7,"B",5,20,0,0,40
"exp3",79,2,7,"C",2,2,1,0,40
"exp3",79,3,6,"A",9,40,0,0,22
"exp3",79,3,6,"B",5,20,1,20,22
"exp3",79,3,6,"C",2,2,1,2,22
"exp3",80,1,10,"A",9,40,1,35,37
"exp3",80,1,10,"B",5,20,0,0,37
"exp3",80,1,10,"C",2,2,1,2,37
"exp3",80,2,7,"A",9,40,0,0,26
"exp3",80,2,7,"B",5,20,1,22,26
"exp3",80,2,7,"C",2,2,1,4,26
"exp3",80,3,6,"A",9,40,0,0,26
"exp3",80,3,6,"B",5,20,1,22,26
"exp3",80,3,6,"C",2,2,1,4,26
"exp3",81,1,10,"A",9,40,0,0,6
"exp3",81,1,10,"B",5,20,1,4,6
"exp3",81,1,10,"C",2,2,1,2,6
"exp3",81,2,7,"A",9,40,1,5,13
"exp3",81,2,7,"B",5,20,0,0,13
"exp3",81,2,7,"C",2,2,1,8,13
"exp3",81,3,6,"A",9,40,1,4,20
"exp3",81,3,6,"B",5,20,1,16,20
"exp3",81,3,6,"C",2,2,0,0,20
"exp3",82,1,10,"A",9,40,1,25,48
"exp3",82,1,10,"B",5,20,1,23,48
"exp3",82,1,10,"C",2,2,0,0,48
"exp3",82,2,7,"A",9,40,1,18,33
"exp3",82,2,7,"B",5,20,1,15,33
"exp3",82,2,7,"C",2,2,0,0,33
"exp3",82,3,6,"A",9,40,1,17,30
"exp3",82,3,6,"B",5,20,1,13,30
"exp3",82,3,6,"C",2,2,0,0,30
"exp3",83,1,10,"A",9,40,1,40,42
"exp3",83,1,10,"B",5,20,0,0,42
"exp3",83,1,10,"C",2,2,1,2,42
"exp3",83,2,7,"A",9,40,0,0,22
"exp3",83,2,7,"B",5,20,1,20,22
"exp3",83,2,7,"C",2,2,1,2,22
"exp3",83,3,6,"A",9,40,0,0,17
"exp3",83,3,6,"B",5,20,1,15,17
"exp3",83,3,6,"C",2,2,1,2,17
"exp3",84,1,10,"A",9,40,1,40,50
"exp3",84,1,10,"B",5,20,1,10,50
"exp3",84,1,10,"C",2,2,0,0,50
"exp3",84,2,7,"A",9,40,1,40,50
"exp3",84,2,7,"B",5,20,1,10,50
"exp3",84,2,7,"C",2,2,0,0,50
"exp3",84,3,6,"A",9,40,1,45,50
"exp3",84,3,6,"B",5,20,0,0,50
"exp3",84,3,6,"C",2,2,1,5,50
"exp3",85,1,10,"A",9,40,1,35,38
"exp3",85,1,10,"B",5,20,0,0,38
"exp3",85,1,10,"C",2,2,1,3,38
"exp3",85,2,7,"A",9,40,0,0,22
"exp3",85,2,7,"B",5,20,1,20,22
"exp3",85,2,7,"C",2,2,1,2,22
"exp3",85,3,6,"A",9,40,0,0,17
"exp3",85,3,6,"B",5,20,1,15,17
"exp3",85,3,6,"C",2,2,1,2,17
"exp3",86,1,10,"A",9,40,1,42,50
"exp3",86,1,10,"B",5,20,0,0,50
"exp3",86,1,10,"C",2,2,1,8,50
"exp3",86,2,7,"A",9,40,1,35,50
"exp3",86,2,7,"B",5,20,0,0,50
"exp3",86,2,7,"C",2,2,1,15,50
"exp3",86,3,6,"A",9,40,1,30,50
"exp3",86,3,6,"B",5,20,0,0,50
"exp3",86,3,6,"C",2,2,1,20,50
"exp3",87,1,10,"A",9,40,0,0,35
"exp3",87,1,10,"B",5,20,1,25,35
"exp3",87,1,10,"C",2,2,1,10,35
"exp3",87,2,7,"A",9,40,0,0,27
"exp3",87,2,7,"B",5,20,1,22,27
"exp3",87,2,7,"C",2,2,1,5,27
"exp3",87,3,6,"A",9,40,0,0,22
"exp3",87,3,6,"B",5,20,1,20,22
"exp3",87,3,6,"C",2,2,1,2,22
"exp3",88,1,10,"A",9,40,1,41,50
"exp3",88,1,10,"B",5,20,0,0,50
"exp3",88,1,10,"C",2,2,1,9,50
"exp3",88,2,7,"A",9,40,0,0,36
"exp3",88,2,7,"B",5,20,1,25,36
"exp3",88,2,7,"C",2,2,1,11,36
"exp3",88,3,6,"A",9,40,1,30,41
"exp3",88,3,6,"B",5,20,0,0,41
"exp3",88,3,6,"C",2,2,1,11,41
"exp3",89,1,10,"A",9,40,1,40,42
"exp3",89,1,10,"B",5,20,0,0,42
"exp3",89,1,10,"C",2,2,1,2,42
"exp3",89,2,7,"A",9,40,0,0,22
"exp3",89,2,7,"B",5,20,1,20,22
"exp3",89,2,7,"C",2,2,1,2,22
"exp3",89,3,6,"A",9,40,0,0,22
"exp3",89,3,6,"B",5,20,1,20,22
"exp3",89,3,6,"C",2,2,1,2,22
"exp3",90,1,10,"A",9,40,1,40,50
"exp3",90,1,10,"B",5,20,0,0,50
"exp3",90,1,10,"C",2,2,1,10,50
"exp3",90,2,7,"A",9,40,1,35,50
"exp3",90,2,7,"B",5,20,0,0,50
"exp3",90,2,7,"C",2,2,1,15,50
"exp3",90,3,6,"A",9,40,1,25,50
"exp3",90,3,6,"B",5,20,1,25,50
"exp3",90,3,6,"C",2,2,0,0,50
"exp3",91,1,10,"A",9,40,1,30,50
"exp3",91,1,10,"B",5,20,1,20,50
"exp3",91,1,10,"C",2,2,0,0,50
"exp3",91,2,7,"A",9,40,0,0,40
"exp3",91,2,7,"B",5,20,1,30,40
"exp3",91,2,7,"C",2,2,1,10,40
"exp3",91,3,6,"A",9,40,0,0,31
"exp3",91,3,6,"B",5,20,1,25,31
"exp3",91,3,6,"C",2,2,1,6,31
"exp3",92,1,10,"A",9,40,1,25,30
"exp3",92,1,10,"B",5,20,0,0,30
"exp3",92,1,10,"C",2,2,1,5,30
"exp3",92,2,7,"A",9,40,1,30,32
"exp3",92,2,7,"B",5,20,0,0,32
"exp3",92,2,7,"C",2,2,1,2,32
"exp3",92,3,6,"A",9,40,0,0,22
"exp3",92,3,6,"B",5,20,1,20,22
"exp3",92,3,6,"C",2,2,1,2,22
"exp3",93,1,10,"A",9,40,1,30,50
"exp3",93,1,10,"B",5,20,1,20,50
"exp3",93,1,10,"C",2,2,0,0,50
"exp3",93,2,7,"A",9,40,1,35,50
"exp3",93,2,7,"B",5,20,1,15,50
"exp3",93,2,7,"C",2,2,0,0,50
"exp3",93,3,6,"A",9,40,1,40,50
"exp3",93,3,6,"B",5,20,1,10,50
"exp3",93,3,6,"C",2,2,0,0,50
"exp3",94,1,10,"A",9,40,1,40,42
"exp3",94,1,10,"B",5,20,0,0,42
"exp3",94,1,10,"C",2,2,1,2,42
"exp3",94,2,7,"A",9,40,0,0,24
"exp3",94,2,7,"B",5,20,1,21,24
"exp3",94,2,7,"C",2,2,1,3,24
"exp3",94,3,6,"A",9,40,1,41,43
"exp3",94,3,6,"B",5,20,0,0,43
"exp3",94,3,6,"C",2,2,1,2,43
"exp3",95,1,10,"A",9,40,1,40,42
"exp3",95,1,10,"B",5,20,0,0,42
"exp3",95,1,10,"C",2,2,1,2,42
"exp3",95,2,7,"A",9,40,0,0,22
"exp3",95,2,7,"B",5,20,1,20,22
"exp3",95,2,7,"C",2,2,1,2,22
"exp3",95,3,6,"A",9,40,0,0,22
"exp3",95,3,6,"B",5,20,1,20,22
"exp3",95,3,6,"C",2,2,1,2,22
"exp3",96,1,10,"A",9,40,1,40,42
"exp3",96,1,10,"B",5,20,0,0,42
"exp3",96,1,10,"C",2,2,1,2,42
"exp3",96,2,7,"A",9,40,0,0,22
"exp3",96,2,7,"B",5,20,1,20,22
"exp3",96,2,7,"C",2,2,1,2,22
"exp3",96,3,6,"A",9,40,0,0,20
"exp3",96,3,6,"B",5,20,1,18,20
"exp3",96,3,6,"C",2,2,1,2,20
"exp3",97,1,10,"A",9,40,0,0,24
"exp3",97,1,10,"B",5,20,1,21,24
"exp3",97,1,10,"C",2,2,1,3,24
"exp3",97,2,7,"A",9,40,0,0,25
"exp3",97,2,7,"B",5,20,1,21,25
"exp3",97,2,7,"C",2,2,1,4,25
"exp3",97,3,6,"A",9,40,0,0,27
"exp3",97,3,6,"B",5,20,1,22,27
"exp3",97,3,6,"C",2,2,1,5,27
"exp3",98,1,10,"A",9,40,1,25,45
"exp3",98,1,10,"B",5,20,1,20,45
"exp3",98,1,10,"C",2,2,0,0,45
"exp3",98,2,7,"A",9,40,1,30,50
"exp3",98,2,7,"B",5,20,1,20,50
"exp3",98,2,7,"C",2,2,0,0,50
"exp3",98,3,6,"A",9,40,1,20,35
"exp3",98,3,6,"B",5,20,1,15,35
"exp3",98,3,6,"C",2,2,0,0,35
"exp3",99,1,10,"A",9,40,1,40,42
"exp3",99,1,10,"B",5,20,0,0,42
"exp3",99,1,10,"C",2,2,1,2,42
"exp3",99,2,7,"A",9,40,0,0,22
"exp3",99,2,7,"B",5,20,1,20,22
"exp3",99,2,7,"C",2,2,1,2,22
"exp3",99,3,6,"A",9,40,0,0,6
"exp3",99,3,6,"B",5,20,1,4,6
"exp3",99,3,6,"C",2,2,1,2,6
"exp3",100,1,10,"A",9,40,1,35,50
"exp3",100,1,10,"B",5,20,0,0,50
"exp3",100,1,10,"C",2,2,1,15,50
"exp3",100,2,7,"A",9,40,0,0,50
"exp3",100,2,7,"B",5,20,1,35,50
"exp3",100,2,7,"C",2,2,1,15,50
"exp3",100,3,6,"A",9,40,0,0,46
"exp3",100,3,6,"B",5,20,1,32,46
"exp3",100,3,6,"C",2,2,1,14,46
"exp3",101,1,10,"A",9,40,1,30,50
"exp3",101,1,10,"B",5,20,1,20,50
"exp3",101,1,10,"C",2,2,0,0,50
"exp3",101,2,7,"A",9,40,1,30,50
"exp3",101,2,7,"B",5,20,1,20,50
"exp3",101,2,7,"C",2,2,0,0,50
"exp3",101,3,6,"A",9,40,1,40,50
"exp3",101,3,6,"B",5,20,1,10,50
"exp3",101,3,6,"C",2,2,0,0,50
