"exp","subject","contest","weight","contestant","strength","min_incentive","select","incentive","total"
"exp3",15,2,7,"C",2,2,1,2,22
"exp3",15,3,6,"A",9,40,0,0,20
"exp3",15,3,6,"B",5,20,1,18,20
"exp3",15,3,6,"C",2,2,1,2,20
"exp3",16,1,10,"A",9,40,1,9,11
"exp3",16,1,10,"B",5,20,0,0,11
"exp3",16,1,10,"C",2,2,1,2,11
"exp3",16,2,7,"A",9,40,0,0,7
"exp3",16,2,7,"B",5,20,1,5,7
"exp3",16,2,7,"C",2,2,1,2,7
"exp3",16,3,6,"A",9,40,0,0,7
"exp3",16,3,6,"B",5,20,1,5,7
"exp3",16,3,6,"C",2,2,1,2,7
"exp3",17,1,10,"A",9,40,1,40,42
"exp3",17,1,10,"B",5,20,0,0,42
"exp3",17,1,10,"C",2,2,1,2,42
"exp3",17,2,7,"A",9,40,0,0,22
"exp3",17,2,7,"B",5,20,1,20,22
"exp3",17,2,7,"C",2,2,1,2,22
"exp3",17,3,6,"A",9,40,0,0,22
"exp3",17,3,6,"B",5,20,1,20,22
"exp3",17,3,6,"C",2,2,1,2,22
"exp3",18,1,10,"A",9,40,1,15,25
"exp3",18,1,10,"B",5,20,1,10,25
"exp3",18,1,10,"C",2,2,0,0,25
"exp3",18,2,7,"A",9,40,0,0,40
"exp3",18,2,7,"B",5,20,1,20,40
"exp3",18,2,7,"C",2,2,1,20,40
"exp3",18,3,6,"A",9,40,0,0,40
"exp3",18,3,6,"B",5,20,1,20,40
"exp3",18,3,6,"C",2,2,1,20,40
"exp3",19,1,10,"A",9,40,1,38,40
"exp3",19,1,10,"B",5,20,0,0,40
"exp3",19,1,10,"C",2,2,1,2,40
"exp3",19,2,7,"A",9,40,0,0,22
"exp3",19,2,7,"B",5,20,1,20,22
"exp3",19,2,7,"C",2,2,1,2,22
"exp3",19,3,6,"A",9,40,0,0,20
"exp3",19,3,6,"B",5,20,1,18,20
"exp3",19,3,6,"C",2,2,1,2,20
"exp3",20,1,10,"A",9,40,1,23,43
"exp3",20,1,10,"B",5,20,1,20,43
"exp3",20,1,10,"C",2,2,0,0,43
"exp3",20,2,7,"A",9,40,0,0,22
"exp3",20,2,7,"B",5,20,1,20,22
"exp3",20,2,7,"C",2,2,1,2,22
"exp3",20,3,6,"A",9,40,0,0,21
"exp3",20,3,6,"B",5,20,1,20,21
"exp3",20,3,6,"C",2,2,1,1,21
"exp3",21,1,10,"A",9,40,1,40,42
"exp3",21,1,10,"B",5,20,0,0,42
"exp3",21,1,10,"C",2,2,1,2,42
"exp3",21,2,7,"A",9,40,0,0,22
"exp3",21,2,7,"B",5,20,1,20,22
"exp3",21,2,7,"C",2,2,1,2,22
"exp3",21,3,6,"A",9,40,0,0,19
"exp3",21,3,6,"B",5,20,1,18,19
"exp3",21,3,6,"C",2,2,1,1,19
"exp3",22,1,10,"A",9,40,1,40,41
"exp3",22,1,10,"B",5,20,0,0,41
"exp3",22,1,10,"C",2,2,1,1,41
"exp3",22,2,7,"A",9,40,0,0,22
"exp3",22,2,7,"B",5,20,1,20,22
"exp3",22,2,7,"C",2,2,1,2,22
"exp3",22,3,6,"A",9,40,0,0,21
"exp3",22,3,6,"B",5,20,1,20,21
"exp3",22,3,6,"C",2,2,1,1,21
"exp3",23,1,10,"A",9,40,1,40,42
"exp3",23,1,10,"B",5,20,0,0,42
"exp3",23,1,10,"C",2,2,1,2,42
"exp3",23,2,7,"A",9,40,0,0,22
"exp3",23,2,7,"B",5,20,1,20,22
"exp3",23,2,7,"C",2,2,1,2,22
"exp3",23,3,6,"A",9,40,0,0,22
"exp3",23,3,6,"B",5,20,1,20,22
"exp3",23,3,6,"C",2,2,1,2,22
"exp3",24,1,10,"A",9,40,1,20,40
"exp3",24,1,10,"B",5,20,1,20,40
"exp3",24,1,10,"C",2,2,0,0,40
"exp3",24,2,7,"A",9,40,0,0,30
"exp3",24,2,7,"B",5,20,1,25,30
"exp3",24,2,7,"C",2,2,1,5,30
"exp3",24,3,6,"A",9,40,0,0,30
"exp3",24,3,6,"B",5,20,1,25,30
"exp3",24,3,6,"C",2,2,1,5,30
"exp3",25,1,10,"A",9,40,1,40,42
"exp3",25,1,10,"B",5,20,0,0,42
"exp3",25,1,10,"C",2,2,1,2,42
"exp3",25,2,7,"A",9,40,0,0,27
"exp3",25,2,7,"B",5,20,1,22,27
"exp3",25,2,7,"C",2,2,1,5,27
"exp3",25,3,6,"A",9,40,0,0,22
"exp3",25,3,6,"B",5,20,1,20,22
"exp3",25,3,6,"C",2,2,1,2,22
"exp3",26,1,10,"A",9,40,1,40,50
"exp3",26,1,10,"B",5,20,1,10,50
"exp3",26,1,10,"C",2,2,0,0,50
"exp3",26,2,7,"A",9,40,1,35,45
"exp3",26,2,7,"B",5,20,1,10,45
"exp3",26,2,7,"C",2,2,0,0,45
"exp3",26,3,6,"A",9,40,1,30,48
"exp3",26,3,6,"B",5,20,1,18,48
"exp3",26,3,6,"C",2,2,0,0,48
"exp3",27,1,10,"A",9,40,1,4,7
"exp3",27,1,10,"B",5,20,1,3,7
"exp3",27,1,10,"C",2,2,0,0,7
"exp3",27,2,7,"A",9,40,1,17,27
"exp3",27,2,7,"B",5,20,1,10,27
"exp3",27,2,7,"C",2,2,0,0,27
"exp3",27,3,6,"A",9,40,0,0,20
"exp3",27,3,6,"B",5,20,1,10,20
"exp3",27,3,6,"C",2,2,1,10,20
"exp3",28,1,10,"A",9,40,1,40,41
"exp3",28,1,10,"B",5,20,0,0,41
"exp3",28,1,10,"C",2,2,1,1,41
"exp3",28,2,7,"A",9,40,0,0,22
"exp3",28,2,7,"B",5,20,1,20,22
"exp3",28,2,7,"C",2,2,1,2,22
"exp3",28,3,6,"A",9,40,0,0,21
"exp3",28,3,6,"B",5,20,1,20,21
"exp3",28,3,6,"C",2,2,1,1,21
"exp3",29,1,10,"A",9,40,1,40,42
"exp3",29,1,10,"B",5,20,0,0,42
"exp3",29,1,10,"C",2,2,1,2,42
"exp3",29,2,7,"A",9,40,0,0,22
"exp3",29,2,7,"B",5,20,1,20,22
"exp3",29,2,7,"C",2,2,1,2,22
"exp3",29,3,6,"A",9,40,0,0,20
"exp3",29,3,6,"B",5,20,1,18,20
"exp3",29,3,6,"C",2,2,1,2,20
"exp3",30,1,10,"A",9,40,1,40,50
"exp3",30,1,10,"B",5,20,0,0,50
"exp3",30,1,10,"C",2,2,1,10,50
"exp3",30,2,7,"A",9,40,0,0,24
"exp3",30,2,7,"B",5,20,1,16,24
"exp3",30,2,7,"C",2,2,1,8,24
"exp3",30,3,6,"A",9,40,0,0,38
"exp3",30,3,6,"B",5,20,1,30,38
"exp3",30,3,6,"C",2,2,1,8,38
"exp3",31,1,10,"A",9,40,1,40,43
"exp3",31,1,10,"B",5,20,0,0,43
"exp3",31,1,10,"C",2,2,1,3,43
"exp3",31,2,7,"A",9,40,0,0,29
"exp3",31,2,7,"B",5,20,1,25,29
"exp3",31,2,7,"C",2,2,1,4,29
"exp3",31,3,6,"A",9,40,0,0,25
"exp3",31,3,6,"B",5,20,1,22,25
"exp3",31,3,6,"C",2,2,1,3,25
"exp3",32,1,10,"A",9,40,1,40,41
"exp3",32,1,10,"B",5,20,0,0,41
"exp3",32,1,10,"C",2,2,1,1,41
"exp3",32,2,7,"A",9,40,0,0,22
"exp3",32,2,7,"B",5,20,1,20,22
"exp3",32,2,7,"C",2,2,1,2,22
"exp3",32,3,6,"A",9,40,0,0,21
"exp3",32,3,6,"B",5,20,1,20,21
"exp3",32,3,6,"C",2,2,1,1,21
"exp3",33,1,10,"A",9,40,1,35,50
"exp3",33,1,10,"B",5,20,1,15,50
"exp3",33,1,10,"C",2,2,0,0,50
"exp3",33,2,7,"A",9,40,0,0,22
"exp3",33,2,7,"B",5,20,1,20,22
"exp3",33,2,7,"C",2,2,1,2,22
"exp3",33,3,6,"A",9,40,0,0,18
"exp3",33,3,6,"B",5,20,1,16,18
"exp3",33,3,6,"C",2,2,1,2,18
"exp3",34,1,10,"A",9,40,1,31,33
"exp3",34,1,10,"B",5,20,0,0,33
"exp3",34,1,10,"C",2,2,1,2,33
"exp3",34,2,7,"A",9,40,0,0,40
"exp3",34,2,7,"B",5,20,1,30,40
"exp3",34,2,7,"C",2,2,1,10,40
"exp3",34,3,6,"A",9,40,0,0,24
"exp3",34,3,6,"B",5,20,1,21,24
"exp3",34,3,6,"C",2,2,1,3,24
"exp3",35,1,10,"A",9,40,1,43,46
"exp3",35,1,10,"B",5,20,0,0,46
"exp3",35,1,10,"C",2,2,1,3,46
"exp3",35,2,7,"A",9,40,0,0,22
"exp3",35,2,7,"B",5,20,1,20,22
"exp3",35,2,7,"C",2,2,1,2,22
"exp3",35,3,6,"A",9,40,0,0,22
"exp3",35,3,6,"B",5,20,1,20,22
"exp3",35,3,6,"C",2,2,1,2,22
"exp3",36,1,10,"A",9,40,1,40,50
"exp3",36,1,10,"B",5,20,0,0,50
"exp3",36,1,10,"C",2,2,1,10,50
"exp3",36,2,7,"A",9,40,0,0,22
"exp3",36,2,7,"B",5,20,1,20,22
"exp3",36,2,7,"C",2,2,1,2,22
"exp3",36,3,6,"A",9,40,0,0,22
"exp3",36,3,6,"B",5,20,1,20,22
"exp3",36,3,6,"C",2,2,1,2,22
"exp3",37,1,10,"A",9,40,1,40,42
"exp3",37,1,10,"B",5,20,0,0,42
"exp3",37,1,10,"C",2,2,1,2,42
"exp3",37,2,7,"A",9,40,0,0,22
"exp3",37,2,7,"B",5,20,1,20,22
"exp3",37,2,7,"C",2,2,1,2,22
"exp3",37,3,6,"A",9,40,0,0,22
"exp3",37,3,6,"B",5,20,1,20,22
"exp3",37,3,6,"C",2,2,1,2,22
"exp3",38,1,10,"A",9,40,1,42,50
"exp3",38,1,10,"B",5,20,0,0,50
"exp3",38,1,10,"C",2,2,1,8,50
"exp3",38,2,7,"A",9,40,0,0,42
"exp3",38,2,7,"B",5,20,1,30,42
"exp3",38,2,7,"C",2,2,1,12,42
"exp3",38,3,6,"A",9,40,0,0,35
"exp3",38,3,6,"B",5,20,1,25,35
"exp3",38,3,6,"C",2,2,1,10,35
"exp3",39,1,10,"A",9,40,1,40,42
"exp3",39,1,10,"B",5,20,0,0,42
"exp3",39,1,10,"C",2,2,1,2,42
"exp3",39,2,7,"A",9,40,0,0,22
"exp3",39,2,7,"B",5,20,1,20,22
"exp3",39,2,7,"C",2,2,1,2,22
"exp3",39,3,6,"A",9,40,0,0,22
"exp3",39,3,6,"B",5,20,1,20,22
"exp3",39,3,6,"C",2,2,1,2,22
"exp3",40,1,10,"A",9,40,1,20,40
"exp3",40,1,10,"B",5,20,1,20,40
"exp3",40,1,10,"C",2,2,0,0,40
"exp3",40,2,7,"A",9,40,0,0,22
"exp3",40,2,7,"B",5,20,1,20,22
"exp3",40,2,7,"C",2,2,1,2,22
"exp3",40,3,6,"A",9,40,0,0,22
"exp3",40,3,6,"B",5,20,1,20,22
"exp3",40,3,6,"C",2,2,1,2,22
"exp3",41,1,10,"A",9,40,1,40,42
"exp3",41,1,10,"B",5,20,0,0,42
"exp3",41,1,10,"C",2,2,1,2,42
"exp3",41,2,7,"A",9,40,0,0,22
"exp3",41,2,7,"B",5,20,1,20,22
"exp3",41,2,7,"C",2,2,1,2,22
"exp3",41,3,6,"A",9,40,0,0,22
"exp3",41,3,6,"B",5,20,1,20,22
"exp3",41,3,6,"C",2,2,1,2,22
"exp3",42,1,10,"A",9,40,1,0,0
"exp3",42,1,10,"B",5,20,1,0,0
"exp3",42,1,10,"C",2,2,0,0,0
"exp3",42,2,7,"A",9,40,0,0,35
"exp3",42,2,7,"B",5,20,1,10,35
"exp3",42,2,7,"C",2,2,1,25,35
"exp3",42,3,6,"A",9,40,1,6,24
"exp3",42,3,6,"B",5,20,1,18,24
"exp3",42,3,6,"C",2,2,0,0,24
"exp3",43,1,10,"A",9,40,0,0,26
"exp3",43,1,10,"B",5,20,1,21,26
"exp3",43,1,10,"C",2,2,1,5,26
"exp3",43,2,7,"A",9,40,0,0,22
"exp3",43,2,7,"B",5,20,1,20,22
"exp3",43,2,7,"C",2,2,1,2,22
"exp3",43,3,6,"A",9,40,0,0,22
"exp3",43,3,6,"B",5,20,1,20,22
"exp3",43,3,6,"C",2,2,1,2,22
"exp3",44,1,10,"A",9,40,1,40,41
"exp3",44,1,10,"B",5,20,0,0,41
"exp3",44,1,10,"C",2,2,1,1,41
"exp3",44,2,7,"A",9,40,1,35,37
"exp3",44,2,7,"B",5,20,0,0,37
"exp3",44,2,7,"C",2,2,1,2,37
"exp3",44,3,6,"A",9,40,0,0,18
"exp3",44,3,6,"B",5,20,1,16,18
"exp3",44,3,6,"C",2,2,1,2,18
"exp3",45,1,10,"A",9,40,1,40,42
"exp3",45,1,10,"B",5,20,0,0,42
"exp3",45,1,10,"C",2,2,1,2,42
"exp3",45,2,7,"A",9,40,0,0,22
"exp3",45,2,7,"B",5,20,1,20,22
"exp3",45,2,7,"C",2,2,1,2,22
"exp3",45,3,6,"A",9,40,0,0,22
"exp3",45,3,6,"B",5,20,1,20,22
"exp3",45,3,6,"C",2,2,1,2,22
"exp3",46,1,10,"A",9,40,1,25,35
"exp3",46,1,10,"B",5,20,1,10,35
"exp3",46,1,10,"C",2,2,0,0,35
"exp3",46,2,7,"A",9,40,1,30,40
"exp3",46,2,7,"B",5,20,1,10,40
"exp3",46,2,7,"C",2,2,0,0,40
"exp3",46,3,6,"A",9,40,1,20,35
"exp3",46,3,6,"B",5,20,1,15,35
"exp3",46,3,6,"C",2,2,0,0,35
"exp3",47,1,10,"A",9,40,1,25,40
"exp3",47,1,10,"B",5,20,1,15,40
"exp3",47,1,10,"C",2,2,0,0,40
"exp3",47,2,7,"A",9,40,1,20,33
