"exp","subject","contest","weight","contestant","select","incentive","total","min_incentive","strength"
"Exp3",15,1,10,"A",1,42,47,40,9
"Exp3",15,1,10,"B",0,0,47,20,5
"Exp3",15,1,10,"C",1,5,47,2,2
"Exp3",15,2,7,"A",0,0,22,40,9
"Exp3",15,2,7,"B",1,20,22,20,5
"Exp3",15,2,7,"C",1,2,22,2,2
"Exp3",15,3,6,"A",0,0,20,40,9
"Exp3",15,3,6,"B",1,18,20,20,5
"Exp3",15,3,6,"C",1,2,20,2,2
"Exp3",16,1,10,"A",1,9,11,40,9
"Exp3",16,1,10,"B",0,0,11,20,5
"Exp3",16,1,10,"C",1,2,11,2,2
"Exp3",16,2,7,"A",0,0,7,40,9
"Exp3",16,2,7,"B",1,5,7,20,5
"Exp3",16,2,7,"C",1,2,7,2,2
"Exp3",16,3,6,"A",0,0,7,40,9
"Exp3",16,3,6,"B",1,5,7,20,5
"Exp3",16,3,6,"C",1,2,7,2,2
"Exp3",17,1,10,"A",1,40,42,40,9
"Exp3",17,1,10,"B",0,0,42,20,5
"Exp3",17,1,10,"C",1,2,42,2,2
"Exp3",17,2,7,"A",0,0,22,40,9
"Exp3",17,2,7,"B",1,20,22,20,5
"Exp3",17,2,7,"C",1,2,22,2,2
"Exp3",17,3,6,"A",0,0,22,40,9
"Exp3",17,3,6,"B",1,20,22,20,5
"Exp3",17,3,6,"C",1,2,22,2,2
"Exp3",18,1,10,"A",1,15,25,40,9
"Exp3",18,1,10,"B",1,10,25,20,5
"Exp3",18,1,10,"C",0,0,25,2,2
"Exp3",18,2,7,"A",0,0,40,40,9
"Exp3",18,2,7,"B",1,20,40,20,5
"Exp3",18,2,7,"C",1,20,40,2,2
"Exp3",18,3,6,"A",0,0,40,40,9
"Exp3",18,3,6,"B",1,20,40,20,5
"Exp3",18,3,6,"C",1,20,40,2,2
"Exp3",19,1,10,"A",1,38,40,40,9
"Exp3",19,1,10,"B",0,0,40,20,5
"Exp3",19,1,10,"C",1,2,40,2,2
"Exp3",19,2,7,"A",0,0,22,40,9
"Exp3",19,2,7,"B",1,20,22,20,5
"Exp3",19,2,7,"C",1,2,22,2,2
"Exp3",19,3,6,"A",0,0,20,40,9
"Exp3",19,3,6,"B",1,18,20,20,5
"Exp3",19,3,6,"C",1,2,20,2,2
"Exp3",20,1,10,"A",1,23,43,40,9
"Exp3",20,1,10,"B",1,20,43,20,5
"Exp3",20,1,10,"C",0,0,43,2,2
"Exp3",20,2,7,"A",0,0,22,40,9
"Exp3",20,2,7,"B",1,20,22,20,5
"Exp3",20,2,7,"C",1,2,22,2,2
"Exp3",20,3,6,"A",0,0,21,40,9
"Exp3",20,3,6,"B",1,20,21,20,5
"Exp3",20,3,6,"C",1,1,21,2,2
"Exp3",21,1,10,"A",1,40,42,40,9
"Exp3",21,1,10,"B",0,0,42,20,5
"Exp3",21,1,10,"C",1,2,42,2,2
"Exp3",21,2,7,"A",0,0,22,40,9
"Exp3",21,2,7,"B",1,20,22,20,5
"Exp3",21,2,7,"C",1,2,22,2,2
"Exp3",21,3,6,"A",0,0,19,40,9
"Exp3",21,3,6,"B",1,18,19,20,5
"Exp3",21,3,6,"C",1,1,19,2,2
"Exp3",22,1,10,"A",1,40,41,40,9
"Exp3",22,1,10,"B",0,0,41,20,5
"Exp3",22,1,10,"C",1,1,41,2,2
"Exp3",22,2,7,"A",0,0,22,40,9
"Exp3",22,2,7,"B",1,20,22,20,5
"Exp3",22,2,7,"C",1,2,22,2,2
"Exp3",22,3,6,"A",0,0,21,40,9
"Exp3",22,3,6,"B",1,20,21,20,5
"Exp3",22,3,6,"C",1,1,21,2,2
"Exp3",23,1,10,"A",1,40,42,40,9
"Exp3",23,1,10,"B",0,0,42,20,5
"Exp3",23,1,10,"C",1,2,42,2,2
"Exp3",23,2,7,"A",0,0,22,40,9
"Exp3",23,2,7,"B",1,20,22,20,5
"Exp3",23,2,7,"C",1,2,22,2,2
"Exp3",23,3,6,"A",0,0,22,40,9
"Exp3",23,3,6,"B",1,20,22,20,5
"Exp3",23,3,6,"C",1,2,22,2,2
"Exp3",24,1,10,"A",1,20,40,40,9
"Exp3",24,1,10,"B",1,20,40,20,5
"Exp3",24,1,10,"C",0,0,40,2,2
"Exp3",24,2,7,"A",0,0,30,40,9
"Exp3",24,2,7,"B",1,25,30,20,5
"Exp3",24,2,7,"C",1,5,30,2,2
"Exp3",24,3,6,"A",0,0,30,40,9
"Exp3",24,3,6,"B",1,25,30,20,5
"Exp3",24,3,6,"C",1,5,30,2,2
"Exp3",25,1,10,"A",1,40,42,40,9
"Exp3",25,1,10,"B",0,0,42,20,5
"Exp3",25,1,10,"C",1,2,42,2,2
"Exp3",25,2,7,"A",0,0,27,40,9
"Exp3",25,2,7,"B",1,22,27,20,5
"Exp3",25,2,7,"C",1,5,27,2,2
"Exp3",25,3,6,"A",0,0,22,40,9
"Exp3",25,3,6,"B",1,20,22,20,5
"Exp3",25,3,6,"C",1,2,22,2,2
"Exp3",26,1,10,"A",1,40,50,40,9
"Exp3",26,1,10,"B",1,10,50,20,5
"Exp3",26,1,10,"C",0,0,50,2,2
"Exp3",26,2,7,"A",1,35,45,40,9
"Exp3",26,2,7,"B",1,10,45,20,5
"Exp3",26,2,7,"C",0,0,45,2,2
"Exp3",26,3,6,"A",1,30,48,40,9
"Exp3",26,3,6,"B",1,18,48,20,5
"Exp3",26,3,6,"C",0,0,48,2,2
"Exp3",27,1,10,"A",1,4,7,40,9
"Exp3",27,1,10,"B",1,3,7,20,5
"Exp3",27,1,10,"C",0,0,7,2,2
"Exp3",27,2,7,"A",1,17,27,40,9
"Exp3",27,2,7,"B",1,10,27,20,5
"Exp3",27,2,7,"C",0,0,27,2,2
"Exp3",27,3,6,"A",0,0,20,40,9
"Exp3",27,3,6,"B",1,10,20,20,5
"Exp3",27,3,6,"C",1,10,20,2,2
"Exp3",28,1,10,"A",1,40,41,40,9
"Exp3",28,1,10,"B",0,0,41,20,5
"Exp3",28,1,10,"C",1,1,41,2,2
"Exp3",28,2,7,"A",0,0,22,40,9
"Exp3",28,2,7,"B",1,20,22,20,5
"Exp3",28,2,7,"C",1,2,22,2,2
"Exp3",28,3,6,"A",0,0,21,40,9
"Exp3",28,3,6,"B",1,20,21,20,5
"Exp3",28,3,6,"C",1,1,21,2,2
"Exp3",29,1,10,"A",1,40,42,40,9
"Exp3",29,1,10,"B",0,0,42,20,5
"Exp3",29,1,10,"C",1,2,42,2,2
"Exp3",29,2,7,"A",0,0,22,40,9
"Exp3",29,2,7,"B",1,20,22,20,5
"Exp3",29,2,7,"C",1,2,22,2,2
"Exp3",29,3,6,"A",0,0,20,40,9
"Exp3",29,3,6,"B",1,18,20,20,5
"Exp3",29,3,6,"C",1,2,20,2,2
"Exp3",30,1,10,"A",1,40,50,40,9
"Exp3",30,1,10,"B",0,0,50,20,5
"Exp3",30,1,10,"C",1,10,50,2,2
"Exp3",30,2,7,"A",0,0,24,40,9
"Exp3",30,2,7,"B",1,16,24,20,5
"Exp3",30,2,7,"C",1,8,24,2,2
"Exp3",30,3,6,"A",0,0,38,40,9
"Exp3",30,3,6,"B",1,30,38,20,5
"Exp3",30,3,6,"C",1,8,38,2,2
"Exp3",31,1,10,"A",1,40,43,40,9
"Exp3",31,1,10,"B",0,0,43,20,5
"Exp3",31,1,10,"C",1,3,43,2,2
"Exp3",31,2,7,"A",0,0,29,40,9
"Exp3",31,2,7,"B",1,25,29,20,5
"Exp3",31,2,7,"C",1,4,29,2,2
"Exp3",31,3,6,"A",0,0,25,40,9
"Exp3",31,3,6,"B",1,22,25,20,5
"Exp3",31,3,6,"C",1,3,25,2,2
"Exp3",32,1,10,"A",1,40,41,40,9
"Exp3",32,1,10,"B",0,0,41,20,5
"Exp3",32,1,10,"C",1,1,41,2,2
"Exp3",32,2,7,"A",0,0,22,40,9
"Exp3",32,2,7,"B",1,20,22,20,5
"Exp3",32,2,7,"C",1,2,22,2,2
"Exp3",32,3,6,"A",0,0,21,40,9
"Exp3",32,3,6,"B",1,20,21,20,5
"Exp3",32,3,6,"C",1,1,21,2,2
"Exp3",33,1,10,"A",1,35,50,40,9
"Exp3",33,1,10,"B",1,15,50,20,5
"Exp3",33,1,10,"C",0,0,50,2,2
"Exp3",33,2,7,"A",0,0,22,40,9
"Exp3",33,2,7,"B",1,20,22,20,5
"Exp3",33,2,7,"C",1,2,22,2,2
"Exp3",33,3,6,"A",0,0,18,40,9
"Exp3",33,3,6,"B",1,16,18,20,5
"Exp3",33,3,6,"C",1,2,18,2,2
"Exp3",34,1,10,"A",1,31,33,40,9
"Exp3",34,1,10,"B",0,0,33,20,5
"Exp3",34,1,10,"C",1,2,33,2,2
"Exp3",34,2,7,"A",0,0,40,40,9
"Exp3",34,2,7,"B",1,30,40,20,5
"Exp3",34,2,7,"C",1,10,40,2,2
"Exp3",34,3,6,"A",0,0,24,40,9
"Exp3",34,3,6,"B",1,21,24,20,5
"Exp3",34,3,6,"C",1,3,24,2,2
"Exp3",35,1,10,"A",1,43,46,40,9
"Exp3",35,1,10,"B",0,0,46,20,5
"Exp3",35,1,10,"C",1,3,46,2,2
"Exp3",35,2,7,"A",0,0,22,40,9
"Exp3",35,2,7,"B",1,20,22,20,5
"Exp3",35,2,7,"C",1,2,22,2,2
"Exp3",35,3,6,"A",0,0,22,40,9
"Exp3",35,3,6,"B",1,20,22,20,5
"Exp3",35,3,6,"C",1,2,22,2,2
"Exp3",36,1,10,"A",1,40,50,40,9
"Exp3",36,1,10,"B",0,0,50,20,5
"Exp3",36,1,10,"C",1,10,50,2,2
"Exp3",36,2,7,"A",0,0,22,40,9
"Exp3",36,2,7,"B",1,20,22,20,5
"Exp3",36,2,7,"C",1,2,22,2,2
"Exp3",36,3,6,"A",0,0,22,40,9
"Exp3",36,3,6,"B",1,20,22,20,5
"Exp3",36,3,6,"C",1,2,22,2,2
"Exp3",37,1,10,"A",1,40,42,40,9
"Exp3",37,1,10,"B",0,0,42,20,5
"Exp3",37,1,10,"C",1,2,42,2,2
"Exp3",37,2,7,"A",0,0,22,40,9
"Exp3",37,2,7,"B",1,20,22,20,5
"Exp3",37,2,7,"C",1,2,22,2,2
"Exp3",37,3,6,"A",0,0,22,40,9
"Exp3",37,3,6,"B",1,20,22,20,5
"Exp3",37,3,6,"C",1,2,22,2,2
"Exp3",38,1,10,"A",1,42,50,40,9
"Exp3",38,1,10,"B",0,0,50,20,5
"Exp3",38,1,10,"C",1,8,50,2,2
"Exp3",38,2,7,"A",0,0,42,40,9
"Exp3",38,2,7,"B",1,30,42,20,5
"Exp3",38,2,7,"C",1,12,42,2,2
"Exp3",38,3,6,"A",0,0,35,40,9
"Exp3",38,3,6,"B",1,25,35,20,5
"Exp3",38,3,6,"C",1,10,35,2,2
"Exp3",39,1,10,"A",1,40,42,40,9
"Exp3",39,1,10,"B",0,0,42,20,5
"Exp3",39,1,10,"C",1,2,42,2,2
"Exp3",39,2,7,"A",0,0,22,40,9
"Exp3",39,2,7,"B",1,20,22,20,5
"Exp3",39,2,7,"C",1,2,22,2,2
"Exp3",39,3,6,"A",0,0,22,40,9
"Exp3",39,3,6,"B",1,20,22,20,5
"Exp3",39,3,6,"C",1,2,22,2,2
"Exp3",40,1,10,"A",1,20,40,40,9
"Exp3",40,1,10,"B",1,20,40,20,5
"Exp3",40,1,10,"C",0,0,40,2,2
"Exp3",40,2,7,"A",0,0,22,40,9
"Exp3",40,2,7,"B",1,20,22,20,5
"Exp3",40,2,7,"C",1,2,22,2,2
"Exp3",40,3,6,"A",0,0,22,40,9
"Exp3",40,3,6,"B",1,20,22,20,5
"Exp3",40,3,6,"C",1,2,22,2,2
"Exp3",41,1,10,"A",1,40,42,40,9
"Exp3",41,1,10,"B",0,0,42,20,5
"Exp3",41,1,10,"C",1,2,42,2,2
"Exp3",41,2,7,"A",0,0,22,40,9
"Exp3",41,2,7,"B",1,20,22,20,5
"Exp3",41,2,7,"C",1,2,22,2,2
"Exp3",41,3,6,"A",0,0,22,40,9
"Exp3",41,3,6,"B",1,20,22,20,5
"Exp3",41,3,6,"C",1,2,22,2,2
"Exp3",42,1,10,"A",1,0,0,40,9
"Exp3",42,1,10,"B",1,0,0,20,5
"Exp3",42,1,10,"C",0,0,0,2,2
"Exp3",42,2,7,"A",0,0,35,40,9
"Exp3",42,2,7,"B",1,10,35,20,5
"Exp3",42,2,7,"C",1,25,35,2,2
"Exp3",42,3,6,"A",1,6,24,40,9
"Exp3",42,3,6,"B",1,18,24,20,5
"Exp3",42,3,6,"C",0,0,24,2,2
"Exp3",43,1,10,"A",0,0,26,40,9
"Exp3",43,1,10,"B",1,21,26,20,5
"Exp3",43,1,10,"C",1,5,26,2,2
"Exp3",43,2,7,"A",0,0,22,40,9
"Exp3",43,2,7,"B",1,20,22,20,5
"Exp3",43,2,7,"C",1,2,22,2,2
"Exp3",43,3,6,"A",0,0,22,40,9
"Exp3",43,3,6,"B",1,20,22,20,5
"Exp3",43,3,6,"C",1,2,22,2,2
"Exp3",44,1,10,"A",1,40,41,40,9
"Exp3",44,1,10,"B",0,0,41,20,5
"Exp3",44,1,10,"C",1,1,41,2,2
"Exp3",44,2,7,"A",1,35,37,40,9
"Exp3",44,2,7,"B",0,0,37,20,5
"Exp3",44,2,7,"C",1,2,37,2,2
"Exp3",44,3,6,"A",0,0,18,40,9
"Exp3",44,3,6,"B",1,16,18,20,5
"Exp3",44,3,6,"C",1,2,18,2,2
"Exp3",45,1,10,"A",1,40,42,40,9
"Exp3",45,1,10,"B",0,0,42,20,5
"Exp3",45,1,10,"C",1,2,42,2,2
"Exp3",45,2,7,"A",0,0,22,40,9
"Exp3",45,2,7,"B",1,20,22,20,5
"Exp3",45,2,7,"C",1,2,22,2,2
"Exp3",45,3,6,"A",0,0,22,40,9
"Exp3",45,3,6,"B",1,20,22,20,5
"Exp3",45,3,6,"C",1,2,22,2,2
"Exp3",46,1,10,"A",1,25,35,40,9
"Exp3",46,1,10,"B",1,10,35,20,5
"Exp3",46,1,10,"C",0,0,35,2,2
"Exp3",46,2,7,"A",1,30,40,40,9
"Exp3",46,2,7,"B",1,10,40,20,5
"Exp3",46,2,7,"C",0,0,40,2,2
"Exp3",46,3,6,"A",1,20,35,40,9
"Exp3",46,3,6,"B",1,15,35,20,5
"Exp3",46,3,6,"C",0,0,35,2,2
"Exp3",47,1,10,"A",1,25,40,40,9
"Exp3",47,1,10,"B",1,15,40,20,5
"Exp3",47,1,10,"C",0,0,40,2,2
"Exp3",47,2,7,"A",1,20,33,40,9
"Exp3",47,2,7,"B",1,13,33,20,5
"Exp3",47,2,7,"C",0,0,33,2,2
"Exp3",47,3,6,"A",0,0,28,40,9
"Exp3",47,3,6,"B",1,22,28,20,5
"Exp3",47,3,6,"C",1,6,28,2,2
"Exp3",48,1,10,"A",1,43,50,40,9
"Exp3",48,1,10,"B",0,0,50,20,5
"Exp3",48,1,10,"C",1,7,50,2,2
"Exp3",48,2,7,"A",0,0,28,40,9
"Exp3",48,2,7,"B",1,25,28,20,5
"Exp3",48,2,7,"C",1,3,28,2,2
"Exp3",48,3,6,"A",0,0,28,40,9
"Exp3",48,3,6,"B",1,25,28,20,5
"Exp3",48,3,6,"C",1,3,28,2,2
"Exp3",49,1,10,"A",1,40,42,40,9
"Exp3",49,1,10,"B",0,0,42,20,5
"Exp3",49,1,10,"C",1,2,42,2,2
"Exp3",49,2,7,"A",0,0,22,40,9
"Exp3",49,2,7,"B",1,20,22,20,5
"Exp3",49,2,7,"C",1,2,22,2,2
"Exp3",49,3,6,"A",0,0,22,40,9
"Exp3",49,3,6,"B",1,20,22,20,5
"Exp3",49,3,6,"C",1,2,22,2,2
"Exp3",50,1,10,"A",1,40,42,40,9
"Exp3",50,1,10,"B",0,0,42,20,5
"Exp3",50,1,10,"C",1,2,42,2,2
"Exp3",50,2,7,"A",0,0,17,40,9
"Exp3",50,2,7,"B",1,15,17,20,5
"Exp3",50,2,7,"C",1,2,17,2,2
"Exp3",50,3,6,"A",0,0,21,40,9
"Exp3",50,3,6,"B",1,19,21,20,5
"Exp3",50,3,6,"C",1,2,21,2,2
"Exp3",51,1,10,"A",1,40,42,40,9
"Exp3",51,1,10,"B",0,0,42,20,5
"Exp3",51,1,10,"C",1,2,42,2,2
"Exp3",51,2,7,"A",0,0,21,40,9
"Exp3",51,2,7,"B",1,20,21,20,5
"Exp3",51,2,7,"C",1,1,21,2,2
"Exp3",51,3,6,"A",1,35,37,40,9
"Exp3",51,3,6,"B",0,0,37,20,5
"Exp3",51,3,6,"C",1,2,37,2,2
"Exp3",52,1,10,"A",1,25,40,40,9
"Exp3",52,1,10,"B",1,15,40,20,5
"Exp3",52,1,10,"C",0,0,40,2,2
"Exp3",52,2,7,"A",1,30,50,40,9
"Exp3",52,2,7,"B",1,20,50,20,5
"Exp3",52,2,7,"C",0,0,50,2,2
"Exp3",52,3,6,"A",0,0,30,40,9
"Exp3",52,3,6,"B",1,20,30,20,5
"Exp3",52,3,6,"C",1,10,30,2,2
