"subject","contest","agent","scenario","exp","effort","strength","outcome","prob","round","reward"
3,3,2,"F,L;F,L","index1",100,10,1,90,3,20
3,4,1,"F,F;L,L","index1",NA,3,0,NA,1,10
3,4,2,"F,F;L,L","index1",NA,3,0,NA,1,10
3,4,1,"F,F;L,L","index1",50,5,1,40,2,20
3,4,2,"F,F;L,L","index1",50,5,1,40,2,20
3,4,1,"F,F;L,L","index1",100,6,1,100,3,20
3,4,2,"F,F;L,L","index1",100,6,1,100,3,20
3,5,1,"L,L;L,L","index1",100,8,1,NA,1,10
3,5,2,"L,L;L,L","index1",100,8,1,NA,1,10
3,5,1,"L,L;L,L","index1",100,10,1,90,2,20
3,5,2,"L,L;L,L","index1",100,10,1,90,2,20
3,5,1,"L,L;L,L","index1",100,10,1,100,3,20
3,5,2,"L,L;L,L","index1",100,10,1,100,3,20
3,6,1,"F,L;L,L","index1",NA,3,0,NA,1,10
3,6,2,"F,L;L,L","index1",100,8,1,NA,1,10
3,6,1,"F,L;L,L","index1",50,5,1,30,2,20
3,6,2,"F,L;L,L","index1",100,10,1,80,2,20
3,6,1,"F,L;L,L","index1",50,5,1,100,3,20
3,6,2,"F,L;L,L","index1",100,10,1,100,3,20
4,1,1,"L,L;L,L","index1",40,6,1,NA,1,10
4,1,2,"L,L;L,L","index1",40,6,1,NA,1,10
4,1,1,"L,L;L,L","index1",70,6,1,60,2,20
4,1,2,"L,L;L,L","index1",70,6,1,60,2,20
4,1,1,"L,L;L,L","index1",35,6,1,100,3,20
4,1,2,"L,L;L,L","index1",35,6,1,100,3,20
4,2,1,"F,F;F,F","index1",NA,4,0,NA,1,10
4,2,2,"F,F;F,F","index1",NA,4,0,NA,1,10
4,2,1,"F,F;F,F","index1",NA,4,0,35,2,20
4,2,2,"F,F;F,F","index1",NA,4,0,35,2,20
4,2,1,"F,F;F,F","index1",NA,2,0,60,3,20
4,2,2,"F,F;F,F","index1",NA,2,0,60,3,20
4,3,1,"F,F;F,L","index1",NA,5,0,NA,1,10
4,3,2,"F,F;F,L","index1",NA,5,0,NA,1,10
4,3,1,"F,F;F,L","index1",NA,4,0,6,2,20
4,3,2,"F,F;F,L","index1",80,6,1,6,2,20
4,3,1,"F,F;F,L","index1",NA,1,0,100,3,20
4,3,2,"F,F;F,L","index1",NA,6,0,100,3,20
4,4,1,"F,L;L,L","index1",NA,4,0,NA,1,10
4,4,2,"F,L;L,L","index1",90,6,1,NA,1,10
4,4,1,"F,L;L,L","index1",95,6,1,60,2,20
4,4,2,"F,L;L,L","index1",90,6,1,100,2,20
4,4,1,"F,L;L,L","index1",45,6,1,100,3,20
4,4,2,"F,L;L,L","index1",55,7,1,100,3,20
4,5,1,"F,F;L,L","index1",NA,4,0,NA,1,10
4,5,2,"F,F;L,L","index1",NA,4,0,NA,1,10
4,5,1,"F,F;L,L","index1",80,7,1,70,2,20
4,5,2,"F,F;L,L","index1",80,7,1,70,2,20
4,5,1,"F,F;L,L","index1",30,7,1,100,3,20
4,5,2,"F,F;L,L","index1",30,7,1,100,3,20
4,6,1,"F,L;F,L","index1",NA,4,0,NA,1,10
4,6,2,"F,L;F,L","index1",80,7,1,NA,1,10
4,6,1,"F,L;F,L","index1",NA,3,0,60,2,20
4,6,2,"F,L;F,L","index1",80,7,1,100,2,20
4,6,1,"F,L;F,L","index1",60,4,1,75,3,20
4,6,2,"F,L;F,L","index1",40,7,1,75,3,20
5,1,1,"F,L;F,L","index1",NA,1,0,NA,1,10
5,1,2,"F,L;F,L","index1",50,10,1,NA,1,10
5,1,1,"F,L;F,L","index1",NA,1,0,10,2,20
5,1,2,"F,L;F,L","index1",50,10,1,90,2,20
5,1,1,"F,L;F,L","index1",100,1,1,90,3,20
5,1,2,"F,L;F,L","index1",50,10,1,90,3,20
5,2,1,"F,L;L,L","index1",NA,1,0,NA,1,10
5,2,2,"F,L;L,L","index1",50,10,1,NA,1,10
5,2,1,"F,L;L,L","index1",80,6,1,10,2,20
5,2,2,"F,L;L,L","index1",50,9,1,90,2,20
5,2,1,"F,L;L,L","index1",75,6,1,100,3,20
5,2,2,"F,L;L,L","index1",50,9,1,100,3,20
5,3,1,"F,F;F,L","index1",NA,2,0,NA,1,10
5,3,2,"F,F;F,L","index1",NA,2,0,NA,1,10
5,3,1,"F,F;F,L","index1",NA,1,0,20,2,20
5,3,2,"F,F;F,L","index1",75,6,1,20,2,20
5,3,1,"F,F;F,L","index1",NA,1,0,100,3,20
5,3,2,"F,F;F,L","index1",NA,6,0,100,3,20
5,4,1,"F,F;F,F","index1",NA,1,0,NA,1,10
5,4,2,"F,F;F,F","index1",NA,1,0,NA,1,10
5,4,1,"F,F;F,F","index1",NA,1,0,20,2,20
5,4,2,"F,F;F,F","index1",NA,1,0,20,2,20
5,4,1,"F,F;F,F","index1",NA,1,0,0,3,20
