"model","scenario","agent","round","reward","outcome","effort","strength","prob"
"compensatory","F,F;F,L","B",3,20,0,66,6.06213806569397,0
"compensatory","F,F;F,L","B",2,20,1,100,6.0804337104741,0
"compensatory","F,L;F,L","A",1,10,0,0,4.06973928291723,NA
"compensatory","F,L;F,L","A",2,20,0,0,3.00546221769442,0
"compensatory","F,L;F,L","A",3,20,1,NA,NA,0
"compensatory","F,L;F,L","B",1,10,1,70,8.58380249847063,NA
"compensatory","F,L;F,L","B",2,20,1,70,8.57891562925617,100
"compensatory","F,L;F,L","B",3,20,1,NA,NA,0
"compensatory","F,F;L,L","A",1,10,0,0,4.08005213608483,NA
"compensatory","F,F;L,L","A",2,20,1,100,6.06720661659858,0
"compensatory","F,F;L,L","A",3,20,1,NA,NA,0
"compensatory","F,F;L,L","B",1,10,0,0,4.07606346322094,NA
"compensatory","F,F;L,L","B",2,20,1,100,6.07848875726463,0
"compensatory","F,F;L,L","B",3,20,1,NA,NA,0
"compensatory","F,L;L,L","A",1,10,0,0,4.06973928291723,NA
"compensatory","F,L;L,L","A",2,20,1,100,6.0698898039247,0
"compensatory","F,L;L,L","A",3,20,1,NA,NA,0
"compensatory","F,L;L,L","B",1,10,1,70,8.58380249847063,NA
"compensatory","F,L;L,L","B",2,20,1,70,8.56838565408091,100
"compensatory","F,L;L,L","B",3,20,1,NA,NA,0
"compensatory","L,L;L,L","A",1,10,1,70,8.58772300242538,NA
"compensatory","L,L;L,L","A",2,20,1,70,8.55942992374667,100
"compensatory","L,L;L,L","A",3,20,1,NA,NA,0
"compensatory","L,L;L,L","B",1,10,1,70,8.56599077043529,NA
"compensatory","L,L;L,L","B",2,20,1,70,8.56754090973845,100
"compensatory","L,L;L,L","B",3,20,1,NA,NA,0
"maximum","F,F;F,F","A",1,10,0,100,3.00575215887086,NA
"maximum","F,F;F,F","A",2,20,0,100,3.025091791713,0
"maximum","F,F;F,F","A",3,20,0,100,1.94165802649424,72.1909368269709
"maximum","F,F;F,F","B",1,10,0,100,3.00558867147667,NA
"maximum","F,F;F,F","B",2,20,0,100,3.0086776024359,0
"maximum","F,F;F,F","B",3,20,0,100,1.93340461704506,72.1909368269709
"maximum","F,F;F,L","A",1,10,0,100,3.00575215887086,NA
"maximum","F,F;F,L","A",2,20,0,NA,NA,0
"maximum","F,F;F,L","A",3,20,0,NA,NA,NA
"maximum","F,F;F,L","B",1,10,0,100,3.00558867147667,NA
"maximum","F,F;F,L","B",3,20,0,NA,NA,NA
"maximum","F,F;F,L","B",2,20,1,NA,NA,0
"maximum","F,L;F,L","A",1,10,0,100,2.98668561887073,NA
"maximum","F,L;F,L","A",2,20,0,100,3.0060851075475,0
"maximum","F,L;F,L","A",3,20,1,100,2.99876947554232,100
"maximum","F,L;F,L","B",1,10,1,100,7.50776798860784,NA
"maximum","F,L;F,L","B",2,20,1,100,7.5016703708212,100
"maximum","F,L;F,L","B",3,20,1,100,7.51257849420921,100
"maximum","F,F;L,L","A",1,10,0,100,3.00575215887086,NA
"maximum","F,F;L,L","A",2,20,1,NA,NA,0
"maximum","F,F;L,L","A",3,20,1,NA,NA,NA
"maximum","F,F;L,L","B",1,10,0,100,3.00558867147667,NA
"maximum","F,F;L,L","B",2,20,1,NA,NA,0
"maximum","F,F;L,L","B",3,20,1,NA,NA,NA
"maximum","F,L;L,L","A",1,10,0,100,2.98668561887073,NA
"maximum","F,L;L,L","A",2,20,1,NA,NA,0
"maximum","F,L;L,L","A",3,20,1,NA,NA,NA
"maximum","F,L;L,L","B",1,10,1,100,7.50776798860784,NA
"maximum","F,L;L,L","B",2,20,1,NA,NA,100
"maximum","F,L;L,L","B",3,20,1,NA,NA,NA
"maximum","L,L;L,L","A",1,10,1,100,7.4997571552231,NA
"maximum","L,L;L,L","A",2,20,1,100,7.49677355662195,100
"maximum","L,L;L,L","A",3,20,1,100,7.50665077984376,100
"maximum","L,L;L,L","B",1,10,1,100,7.49729623420861,NA
"maximum","L,L;L,L","B",2,20,1,100,7.49568902149653,100
"maximum","L,L;L,L","B",3,20,1,100,7.4883315088398,100
