"model","scenario","agent","round","reward","outcome","effort","strength","prob"
"compensatory","F,F;F,L","B",3,20,0,70,6.0815222276789,0
"compensatory","F,F;F,L","B",2,20,1,100,6.06894951420443,0
"compensatory","F,L;F,L","A",1,10,0,0,4.05974225292813,NA
"compensatory","F,L;F,L","A",2,20,0,0,2.99816570103288,0
"compensatory","F,L;F,L","A",3,20,1,NA,NA,0
"compensatory","F,L;F,L","B",1,10,1,70,8.57338661110411,NA
"compensatory","F,L;F,L","B",2,20,1,70,8.58096573317646,100
"compensatory","F,L;F,L","B",3,20,1,NA,NA,0
"compensatory","F,F;L,L","A",1,10,0,0,4.0842715794579,NA
"compensatory","F,F;L,L","A",2,20,1,100,6.06760012831929,0
"compensatory","F,F;L,L","A",3,20,1,NA,NA,0
"compensatory","F,F;L,L","B",1,10,0,0,4.08992910261782,NA
"compensatory","F,F;L,L","B",2,20,1,100,6.07082078878632,0
"compensatory","F,F;L,L","B",3,20,1,NA,NA,0
"compensatory","F,L;L,L","A",1,10,0,0,4.05974225292813,NA
"compensatory","F,L;L,L","A",2,20,1,100,6.07368184638902,0
"compensatory","F,L;L,L","A",3,20,1,NA,NA,0
"compensatory","F,L;L,L","B",1,10,1,70,8.57338661110411,NA
"compensatory","F,L;L,L","B",2,20,1,70,8.57688941758702,100
"compensatory","F,L;L,L","B",3,20,1,NA,NA,0
"compensatory","L,L;L,L","A",1,10,1,70,8.56824591179208,NA
"compensatory","L,L;L,L","A",2,20,1,70,8.58177534818044,100
"compensatory","L,L;L,L","A",3,20,1,NA,NA,0
"compensatory","L,L;L,L","B",1,10,1,70,8.57344025103549,NA
"compensatory","L,L;L,L","B",2,20,1,70,8.56914080605013,100
"compensatory","L,L;L,L","B",3,20,1,NA,NA,0
"maximum","F,F;F,F","A",1,10,0,100,2.9898260618071,NA
"maximum","F,F;F,F","A",2,20,0,100,3.01315430064092,0
"maximum","F,F;F,F","A",3,20,0,100,1.93135350106214,71.7910192689109
"maximum","F,F;F,F","B",1,10,0,100,2.98388060111288,NA
"maximum","F,F;F,F","B",2,20,0,100,3.01044176006604,0
"maximum","F,F;F,F","B",3,20,0,100,1.94266980844749,71.7910192689109
"maximum","F,F;F,L","A",1,10,0,100,2.9898260618071,NA
"maximum","F,F;F,L","A",2,20,0,NA,NA,0
"maximum","F,F;F,L","A",3,20,0,NA,NA,NA
"maximum","F,F;F,L","B",1,10,0,100,2.98388060111288,NA
"maximum","F,F;F,L","B",3,20,0,NA,NA,NA
"maximum","F,F;F,L","B",2,20,1,NA,NA,0
"maximum","F,L;F,L","A",1,10,0,100,2.996788166617,NA
"maximum","F,L;F,L","A",2,20,0,100,2.98894241599687,0
"maximum","F,L;F,L","A",3,20,1,100,2.99784489927709,100
"maximum","F,L;F,L","B",1,10,1,100,7.49776334752271,NA
"maximum","F,L;F,L","B",2,20,1,100,7.48633193975694,100
"maximum","F,L;F,L","B",3,20,1,100,7.48372355034475,100
"maximum","F,F;L,L","A",1,10,0,100,2.9898260618071,NA
"maximum","F,F;L,L","A",2,20,1,NA,NA,0
"maximum","F,F;L,L","A",3,20,1,NA,NA,NA
"maximum","F,F;L,L","B",1,10,0,100,2.98388060111288,NA
"maximum","F,F;L,L","B",2,20,1,NA,NA,0
"maximum","F,F;L,L","B",3,20,1,NA,NA,NA
"maximum","F,L;L,L","A",1,10,0,100,2.996788166617,NA
"maximum","F,L;L,L","A",2,20,1,NA,NA,0
"maximum","F,L;L,L","A",3,20,1,NA,NA,NA
"maximum","F,L;L,L","B",1,10,1,100,7.49776334752271,NA
"maximum","F,L;L,L","B",2,20,1,NA,NA,100
"maximum","F,L;L,L","B",3,20,1,NA,NA,NA
"maximum","L,L;L,L","A",1,10,1,100,7.48741984783274,NA
"maximum","L,L;L,L","A",2,20,1,100,7.49670939135116,100
"maximum","L,L;L,L","A",3,20,1,100,7.49913451746506,100
"maximum","L,L;L,L","B",1,10,1,100,7.51476313992931,NA
"maximum","L,L;L,L","B",2,20,1,100,7.52797321028094,100
"maximum","L,L;L,L","B",3,20,1,100,7.50501640111856,100
