"model","scenario","agent","round","reward","outcome","effort","strength","prob"
"safe_joint_w_gini","F,F;F,F","A",1,10,0,0,4.07333179342687,NA
"safe_joint_w_gini","F,F;F,F","A",2,20,0,0,3.02230329648116,0
"safe_joint_w_gini","F,F;F,F","A",3,20,0,0,1.93602370467518,72.1612886872633
"safe_joint_w_gini","F,F;F,F","B",1,10,0,0,4.07635154316063,NA
"safe_joint_w_gini","F,F;F,F","B",2,20,0,0,2.98778909747921,0
"safe_joint_w_gini","F,F;F,F","B",3,20,0,0,1.93883545612154,72.1612886872633
"safe_joint_w_gini","F,F;F,L","A",1,10,0,0,4.07333179342687,NA
"safe_joint_w_gini","F,F;F,L","A",2,20,0,0,2.99759445641191,0
"safe_joint_w_gini","F,F;F,L","A",3,20,0,NA,NA,97.3878295858154
"safe_joint_w_gini","F,F;F,L","B",1,10,0,0,4.07635154316063,NA
"safe_joint_w_gini","F,F;F,L","B",3,20,0,NA,NA,97.3878295858154
"safe_joint_w_gini","F,F;F,L","B",2,20,1,100,6.06574458584618,0
"safe_joint_w_gini","F,L;F,L","A",1,10,0,0,4.08861996800959,NA
"safe_joint_w_gini","F,L;F,L","A",2,20,0,0,3.01017556189365,0
"safe_joint_w_gini","F,L;F,L","A",3,20,1,75,3.00457942276825,96.905888834508
"safe_joint_w_gini","F,L;F,L","B",1,10,1,70,8.5638286136884,NA
"safe_joint_w_gini","F,L;F,L","B",2,20,1,70,8.5568246427392,100
"safe_joint_w_gini","F,L;F,L","B",3,20,1,75,8.57416737271626,96.905888834508
"safe_joint_w_gini","F,F;L,L","A",1,10,0,0,4.07333179342687,NA
"safe_joint_w_gini","F,F;L,L","A",2,20,1,100,6.06072540081365,0
"safe_joint_w_gini","F,F;L,L","A",3,20,1,70,6.07063927643872,99.7567549994472
"safe_joint_w_gini","F,F;L,L","B",1,10,0,0,4.07635154316063,NA
"safe_joint_w_gini","F,F;L,L","B",2,20,1,100,6.06339555756669,0
"safe_joint_w_gini","F,F;L,L","B",3,20,1,70,6.06957286505976,99.7567549994472
"safe_joint_w_gini","F,L;L,L","A",1,10,0,0,4.08861996800959,NA
"safe_joint_w_gini","F,L;L,L","A",2,20,1,100,6.07528381879982,0
"safe_joint_w_gini","F,L;L,L","A",3,20,1,60,6.07264107222205,100
"safe_joint_w_gini","F,L;L,L","B",1,10,1,70,8.5638286136884,NA
"safe_joint_w_gini","F,L;L,L","B",2,20,1,70,8.58169536126385,100
"safe_joint_w_gini","F,L;L,L","B",3,20,1,65,8.57542112737745,100
"safe_joint_w_gini","L,L;L,L","A",1,10,1,70,8.57769025281591,NA
"safe_joint_w_gini","L,L;L,L","A",2,20,1,70,8.57926606285945,100
"safe_joint_w_gini","L,L;L,L","A",3,20,1,55,8.56321094073191,98.1844500888508
"safe_joint_w_gini","L,L;L,L","B",1,10,1,70,8.56916890050914,NA
"safe_joint_w_gini","L,L;L,L","B",2,20,1,70,8.56765225644995,100
"safe_joint_w_gini","L,L;L,L","B",3,20,1,55,8.56861037165671,98.1844500888508
